t,symbol,high,low,open,close,volume
1660104000000,TSLA,297.51,283.37,297.0667,294.3567,94903572.0
1660190400000,TSLA,298.2367,285.8333,296.5133,286.63,70155045.0
1660276800000,TSLA,300.16,285.0333,289.415,300.03,79657287.0
1660536000000,TSLA,313.1333,301.23,301.7867,309.32,89359167.0
1660622400000,TSLA,314.6667,302.8833,311.6667,306.5633,88071762.0
1660708800000,TSLA,309.6567,300.0333,303.3967,303.9967,68765970.0
1660795200000,TSLA,306.5,301.8533,306.0,302.87,47500536.0
1660881600000,TSLA,300.36,292.5,299.0,296.6667,61395387.0
1661140800000,TSLA,292.4,286.2967,291.9133,289.9133,55843347.0
1661227200000,TSLA,298.8266,287.9233,291.4533,296.4533,63985044.0
1661313600000,TSLA,303.6467,296.5,297.5633,297.0967,57254676.0
1661400000000,TSLA,302.96,291.6,302.36,296.07,53208413.0
1661486400000,TSLA,302.0,287.47,297.43,288.09,57111447.0
1661745600000,TSLA,287.74,280.7,282.83,284.82,41847822.0
